city,cloud,country,date,humid,lat,lng,Max_Temp_F,Wind_Speed
Saint-Francois,0,FR,1559443830,93,46.42,3.91,55.4,2.24
Bambous Virieux,75,MU,1559443830,94,-20.34,57.76,71.6,3.36
Tiksi,86,RU,1559443578,94,71.64,128.87,33.56,9.6
Sterling,75,US,1559443803,73,39.0,-77.4,75.2,3.36
Fastovetskaya,31,RU,1559443831,79,45.92,40.15,69.56,4.88
Sal Rei,40,CV,1559443831,69,16.18,-22.92,73.4,6.93
Fairbanks,90,US,1559443701,87,64.84,-147.72,54.0,4.7
Tuktoyaktuk,75,CA,1559443831,80,69.44,-133.03,37.4,17.22
Gigmoto,35,PH,1559443831,71,13.78,124.39,88.1,8.43
Miramar,40,CR,1559443611,100,10.09,-84.73,73.99,2.24
Palmer,75,AU,1559443831,87,-34.85,139.16,59.0,11.41
Esperance,20,TT,1559443831,74,10.24,-61.45,80.6,5.82
Ferme-Neuve,98,CA,1559443832,66,46.7,-75.45,50.84,3.6
Centralia,40,US,1559443595,88,39.21,-92.14,73.99,3.36
Pevek,0,RU,1559443832,81,69.7,170.27,35.9,15.08
Upernavik,1,GL,1559443832,92,72.79,-56.15,31.22,10.38
Kapaa,90,US,1559443730,74,22.08,-159.32,84.2,13.87
Mamlyutka,0,KZ,1559443832,72,54.94,68.54,60.8,6.71
Changji,0,CN,1559443832,39,32.07,116.17,88.46,4.81
Los Llanos de Aridane,0,ES,1559443832,88,28.66,-17.92,66.2,8.05
Bintulu,75,MY,1559443832,94,3.17,113.03,77.0,3.36
Aquin,43,HT,1559443833,86,18.28,-73.39,79.0,0.65
Srbac,75,BA,1559443833,100,45.1,17.52,59.0,2.24
Byron Bay,40,AU,1559443833,82,-28.65,153.62,71.6,8.05
Fort Nelson,75,CA,1559443833,71,58.81,-122.69,57.2,5.82
Longyearbyen,0,NO,1559443833,69,78.22,15.63,33.8,6.93
Otradnoye,75,RU,1559443833,81,59.77,30.8,54.0,4.47
Ballina,100,IE,1559443833,92,54.11,-9.15,59.0,8.01
Naron,90,ES,1559443833,100,43.52,-8.15,61.0,1.12
Butaritari,45,KI,1559443834,70,3.07,172.79,84.68,6.22
Severo-Kurilsk,100,RU,1559443834,93,50.68,156.12,41.48,12.28
Lebu,93,ET,1559443834,83,8.96,38.73,58.4,3.83
Forssa,90,FI,1559443834,100,60.82,23.63,53.01,3.36
Bathsheba,40,BB,1559443834,78,13.22,-59.52,80.6,11.41
Rio Gallegos,90,AR,1559443650,93,-51.62,-69.22,41.0,14.99
Ichnya,100,UA,1559443834,87,50.86,32.39,60.2,5.95
Boa Vista,40,BR,1559443835,78,2.82,-60.67,82.4,4.7
Shitanjing,0,CN,1559443835,10,39.23,106.34,81.08,18.32
Tyrma,100,RU,1559443835,49,50.04,132.17,62.72,5.48
Partizanske,0,SK,1559443835,77,48.63,18.38,62.6,5.82
Capitao Poco,100,BR,1559443805,98,-1.75,-47.06,73.52,3.4
Sabha,33,LY,1559443836,44,27.03,14.43,78.02,18.39
Liverpool,0,GB,1559443836,72,53.41,-2.98,64.4,5.82
Najran,20,SA,1559443836,56,17.54,44.22,73.4,4.7
Appleton,40,US,1559443820,71,44.26,-88.41,59.0,3.36
Cherskiy,1,RU,1559443836,40,68.75,161.3,56.6,16.13
Guerrero Negro,0,MX,1559443836,80,27.97,-114.04,65.06,11.39
Meulaboh,100,ID,1559443837,73,4.14,96.13,81.98,3.87
Sola,90,FI,1559443837,93,62.78,29.36,50.0,5.82
Faya,40,SA,1559443837,87,18.39,42.45,59.0,8.05
Evanston,90,US,1559443837,93,42.04,-87.69,63.0,6.93
Norman Wells,90,CA,1559443686,81,65.28,-126.83,50.0,9.17
Khuzdar,0,PK,1559443837,17,27.8,66.62,84.32,4.14
North Platte,1,US,1559443837,72,41.12,-100.77,68.0,5.82
Sohag,0,EG,1559443837,21,26.55,31.7,82.4,10.29
Fukue,90,JP,1559443837,83,35.03,136.69,77.0,4.7
Yokosuka,75,JP,1559443642,73,35.24,139.66,81.0,5.82
Chongwe,0,ZM,1559443838,71,-15.33,28.68,51.02,1.66
Chokurdakh,60,RU,1559443838,74,70.62,147.9,39.68,12.91
Oistins,40,BB,1559443695,78,13.07,-59.53,80.6,11.41
Dawei,100,MM,1559443838,66,14.07,98.19,86.12,3.4
Airai,41,TL,1559443838,54,-8.93,125.41,85.76,8.39
Atherton,88,GB,1559443838,68,53.52,-2.49,64.4,2.24
Husavik,0,CA,1559443838,40,50.56,-96.99,50.0,5.99
Raudeberg,99,NO,1559443838,93,61.99,5.14,46.4,13.87
Visby,0,SE,1559443839,81,57.64,18.3,54.0,11.41
Dayong,86,PH,1559443839,73,11.74,122.04,87.02,15.26
Pohrebyshche,100,UA,1559443839,96,49.49,29.26,59.84,6.58
Dawson Creek,1,CA,1559443839,48,55.76,-120.23,66.2,16.11
Taunggyi,27,MM,1559443607,41,20.78,97.03,89.9,1.88
Ponta do Sol,0,BR,1559443839,93,-20.63,-46.0,61.82,1.3
Cabo San Lucas,5,MX,1559443691,72,22.89,-109.91,78.8,18.34
Inhambane,0,MZ,1559443839,95,-23.87,35.38,61.82,2.75
Portland,40,US,1559443535,53,45.52,-122.67,75.99,10.29
Lac du Bonnet,0,CA,1559443839,54,50.25,-96.06,50.0,11.1
Flagstaff,1,US,1559443564,18,35.2,-111.65,77.0,11.41
Karasjok,66,NO,1559443840,80,69.47,25.52,41.0,23.04
Piopio,90,CL,1559443840,93,-42.79,-73.57,50.0,21.92
Tevaitoa,0,PF,1559443840,67,-16.78,-151.5,81.44,7.96
Provideniya,4,RU,1559443840,61,64.42,-173.23,47.42,4.83
Khasan,99,RU,1559443840,52,42.43,130.64,72.26,6.64
Dingle,96,PH,1559443840,46,11.0,122.67,94.22,11.95
Calama,0,CL,1559443840,28,-22.46,-68.93,44.6,10.29
Zaranj,0,AF,1559443840,47,30.95,61.86,77.0,28.86
Beni,100,CD,1559443841,96,0.49,29.47,62.9,1.95
Bowen,90,AU,1559443841,73,-20.01,148.25,70.0,10.29
Bredasdorp,100,ZA,1559443841,93,-34.53,20.04,51.8,3.36
Coari,100,BR,1559443841,97,-4.09,-63.14,74.78,1.72
Izvestkovyy,98,RU,1559443841,91,48.98,131.55,53.0,8.5
Halifax,90,CA,1559443602,93,44.65,-63.58,51.01,8.05
Mount Isa,0,AU,1559443841,27,-20.73,139.49,66.2,14.99
Camopi,74,GF,1559443841,99,3.17,-52.33,72.08,1.36
Usoke,98,TZ,1559443841,65,-5.09,32.32,69.74,3.94
Saint George,40,GR,1559443842,77,39.45,22.34,60.8,4.27
Victoria,75,BN,1559443842,79,5.28,115.24,86.0,3.36
Lovozero,0,RU,1559443842,63,68.01,35.02,43.82,15.14
Hambantota,75,LK,1559443572,89,6.12,81.12,84.2,10.29
Sabathu,0,IN,1559443842,44,31.01,76.99,91.4,2.24
Cidreira,99,BR,1559443842,79,-30.17,-50.22,64.34,9.26
Vestmanna,87,FO,1559443842,81,62.16,-7.17,44.6,10.29
Punta Cardon,43,VE,1559443843,80,11.61,-70.22,82.16,14.23
Muskegon,40,US,1559443843,93,43.23,-86.25,60.01,5.82
Cabedelo,20,BR,1559443843,94,-6.97,-34.84,75.2,2.24
Kattivakkam,40,IN,1559443843,70,13.22,80.32,89.6,10.29
Vila do Maio,20,CV,1559443843,73,15.13,-23.22,73.4,16.11
Vao,99,EE,1559443843,95,59.1,26.19,52.46,10.22
Khandyga,100,RU,1559443843,34,62.65,135.58,69.74,3.13
Shahreza,0,IR,1559443844,44,32.01,51.87,60.38,4.21
La Palma,100,CO,1559443844,96,5.36,-74.39,68.48,2.44
Placerville,20,US,1559443844,34,38.73,-120.8,90.0,8.05
Vila Velha,20,BR,1559443844,83,-3.71,-38.6,86.0,2.24
Poum,1,MK,1559443845,83,41.28,20.71,44.54,3.22
Kendal,20,ID,1559443845,69,-6.92,110.2,82.4,3.24
Denpasar,75,ID,1559443845,78,-8.65,115.22,82.4,17.22
Vardo,75,US,1559443702,64,39.62,-77.74,71.6,6.93
Khatanga,62,RU,1559443845,69,71.98,102.47,46.7,7.31
Vila Franca do Campo,40,PT,1559443845,93,37.72,-25.43,66.2,6.93
Zeya,62,RU,1559443845,27,53.74,127.27,67.04,3.91
Westport,100,IE,1559443845,94,53.8,-9.52,59.0,1.99
Castro,90,CL,1559443846,93,-42.48,-73.76,50.0,21.92
Kimbe,33,PG,1559443846,55,-5.56,150.15,89.36,10.29
Henties Bay,0,NA,1559443846,86,-22.12,14.28,56.24,12.15
Igarka,97,RU,1559443846,99,67.47,86.57,34.64,10.07
La Ronge,90,CA,1559443846,33,55.1,-105.3,57.2,10.29
Saint Anthony,1,US,1559443846,35,43.97,-111.68,69.8,5.82
Loandjili,80,CG,1559443846,83,-4.77,11.87,76.22,10.78
Nome,40,US,1559443847,74,30.04,-94.42,82.99,4.7
Atar,1,MR,1559443847,13,20.52,-13.05,89.9,6.35
Bonthe,100,SL,1559443847,82,7.53,-12.5,80.0,5.91
Blind River,1,CA,1559443847,71,46.19,-82.96,51.8,5.82
Bahia de Caraquez,40,EC,1559443847,78,-0.6,-80.42,78.8,4.7
Alofi,93,NU,1559443602,57,-19.06,-169.92,80.6,3.36
Clyde,99,NZ,1559443847,85,-45.19,169.32,37.99,1.01
Sikonge,59,TZ,1559443847,74,-5.63,32.75,65.6,4.68
Lagoa,0,PT,1559443848,43,37.14,-8.45,71.01,8.05
Saldanha,97,PT,1559443848,46,41.42,-6.55,60.74,2.48
Nelson Bay,90,AU,1559443848,82,-32.72,152.14,61.0,10.29
Arman,84,RU,1559443848,70,59.7,150.17,50.3,6.58
Kavieng,37,PG,1559443848,71,-2.57,150.8,86.12,13.78
Palompon,63,PH,1559443848,63,11.05,124.38,89.36,4.23
Abu Samrah,99,SY,1559443848,38,35.3,37.18,76.76,6.85
Ust-Nera,72,RU,1559443848,39,64.57,143.24,61.28,8.79
Terra Nova,40,BR,1559443849,88,-12.41,-38.62,77.0,1.12
Boyolangu,73,ID,1559443849,73,-8.09,111.9,78.56,10.11
Prince Rupert,40,CA,1559443761,76,54.32,-130.32,55.4,5.82
Tautira,20,PF,1559443849,62,-17.73,-149.15,86.0,9.17
Ife,100,NG,1559443849,99,7.48,4.55,72.08,1.63
Dumai,81,ID,1559443849,58,1.68,101.45,90.26,1.9
Guangyuan,0,CN,1559443849,56,32.43,105.86,84.0,3.11
Hithadhoo,71,MV,1559443850,78,-0.6,73.08,84.32,10.38
East London,14,ZA,1559443850,43,-33.02,27.91,58.76,4.72
Kruisfontein,41,ZA,1559443850,97,-34.0,24.73,54.98,7.29
Okhotsk,69,RU,1559443850,65,59.36,143.24,55.16,10.71
Odolena Voda,0,CZ,1559443850,82,50.23,14.41,59.0,3.36
Ribeira Grande,99,PT,1559443850,93,38.52,-28.7,66.32,11.74
Hami,0,CN,1559443850,12,42.84,93.51,80.18,2.08
Hofn,47,IS,1559443850,82,64.25,-15.21,24.2,9.08
Ust-Ishim,51,RU,1559443851,48,57.69,71.17,58.58,5.21
Aksarka,94,RU,1559443851,70,66.56,67.8,45.62,14.5
Mlonggo,20,ID,1559443851,69,-6.53,110.7,82.4,10.33
Coihaique,20,CL,1559443851,100,-45.58,-72.07,35.6,3.36
Aden,90,YE,1559443772,68,12.79,45.03,86.66,11.9
Bayan,66,MN,1559443833,35,47.25,107.54,51.74,18.37
Qiongshan,75,CN,1559443851,88,20.01,110.35,82.4,8.95
The Pas,1,CA,1559443851,35,53.82,-101.24,55.4,2.24
Pacific Grove,90,US,1559443821,93,36.62,-121.92,63.0,6.93
Muros,0,ES,1559443851,62,42.77,-9.06,62.01,4.7
Chama,1,ZM,1559443852,75,-11.22,33.16,49.94,1.36
Ostrovnoy,0,RU,1559443852,59,68.05,39.51,46.34,19.01
Edd,100,ER,1559443852,55,13.93,41.69,90.08,3.85
Along,4,IN,1559443852,47,28.17,94.8,73.7,3.85
Carnarvon,33,ZA,1559443852,54,-30.97,22.13,48.68,2.26
Nuuk,90,GL,1559443852,85,64.17,-51.74,33.8,5.82
Fuxin,13,CN,1559443852,44,42.02,121.65,77.84,16.75
Ahuimanu,20,US,1559443852,62,21.44,-157.84,87.8,14.99
Jasper,2,US,1559443853,100,33.83,-87.28,75.99,3.38
Chuy,1,UY,1559443853,75,-33.69,-53.46,59.84,9.69
Decatur,40,US,1559443853,73,35.51,-84.79,70.0,2.89
Padang,66,ID,1559443853,75,-0.92,100.36,81.8,2.35
Pisco,90,PE,1559443853,77,-13.71,-76.2,66.2,6.93
Porto Novo,20,BR,1559443853,88,-23.68,-45.44,66.2,3.36
Krutinka,5,RU,1559443853,71,56.01,71.51,58.94,4.88
Campo Grande,0,BR,1559443854,94,-20.46,-54.62,68.0,2.24
Praia da Vitoria,75,PT,1559443854,94,38.73,-27.07,68.0,15.32
Auki,100,NG,1559443854,62,12.18,6.51,81.44,10.09
Ngunguru,53,NZ,1559443854,76,-35.62,174.5,55.99,5.01
Lensk,19,RU,1559443854,30,60.71,114.91,69.56,4.36
Ishigaki,75,JP,1559443854,84,24.34,124.16,86.0,17.22
Torbay,90,CA,1559443854,100,47.66,-52.73,42.01,6.93
Vila,0,IT,1559443855,77,45.18,8.4,66.99,4.7
Penarroya-Pueblonuevo,0,ES,1559443855,48,38.3,-5.27,62.6,1.12
Makakilo City,75,US,1559443855,48,21.35,-158.09,87.8,11.41
Paragominas,40,BR,1559443855,97,-3.0,-47.35,72.44,2.33
Toowoomba,90,AU,1559443855,82,-27.56,151.95,62.01,10.29
Agapovka,75,RU,1559443760,77,53.3,59.13,64.4,8.95
Yarada,20,IN,1559443855,79,17.65,83.27,87.8,6.93
Galesong,20,ID,1559443855,79,-5.32,119.37,84.2,2.24
Saint-Augustin,0,FR,1559443856,72,44.83,-0.61,66.0,3.36
Haikou,75,CN,1559443856,88,20.04,110.34,82.4,8.95
Flinders,3,AU,1559443856,52,-34.58,150.85,69.01,5.82
Rongcheng,0,CN,1559443856,45,37.16,122.42,76.4,12.91
Donskoye,0,RU,1559443856,46,45.45,41.98,69.8,8.95
Ponta Delgada,40,PT,1559443856,93,37.73,-25.67,66.2,6.93
Hendaye,29,FR,1559443857,82,43.37,-1.77,66.0,2.24
Coquimbo,0,CL,1559443857,87,-29.95,-71.34,54.0,8.05
Rocha,0,UY,1559443586,91,-34.48,-54.34,49.94,4.9
Atbasar,36,KZ,1559443857,63,51.81,68.36,65.6,5.03
Ratnagiri,81,IN,1559443857,69,16.98,73.3,85.58,3.76
Ullubiyaul,100,RU,1559443857,72,42.59,47.72,64.4,8.95
Troitsko-Pechorsk,0,RU,1559443857,67,62.71,56.19,53.36,8.43
Port Macquarie,40,AU,1559443857,72,-31.43,152.91,70.0,6.93
Fernie,75,CA,1559443858,38,49.5,-115.06,75.2,12.75
Nemuro,75,JP,1559443858,56,43.32,145.57,68.0,8.05
Mala,99,PE,1559443858,97,-12.66,-76.63,60.74,16.28
Belmonte,92,PT,1559443858,81,40.36,-7.35,59.0,1.63
Horodnytsya,68,UA,1559443858,88,50.81,27.32,56.42,4.03
College,90,US,1559443858,87,64.86,-147.8,54.0,4.7
Remuna,20,IN,1559443858,67,21.54,86.83,89.54,8.59
Narsaq,13,GL,1559443858,64,60.91,-46.05,39.2,8.05
Thompson,75,CA,1559443859,65,55.74,-97.86,44.6,6.93
Ketchikan,75,US,1559443848,58,55.34,-131.65,60.8,13.87
Paracuru,20,BR,1559443859,83,-3.41,-39.03,86.0,2.24
Abapo,100,BO,1559443859,97,-18.83,-63.47,60.56,1.7
Pudozh,96,RU,1559443859,79,61.81,36.54,47.42,8.28
Port Hawkesbury,90,CA,1559443859,100,45.62,-61.36,48.99,6.93
Caravelas,0,BR,1559443859,88,-17.73,-39.27,76.04,6.13
Weinan,0,CN,1559443860,31,34.5,109.46,87.8,8.95
Santa Maria,90,BR,1559443861,93,-29.69,-53.81,60.8,4.7
Mamou,100,GN,1559443861,95,10.37,-12.08,72.98,2.08
Neyshabur,0,IR,1559443861,55,36.21,58.79,57.68,5.55
Nanortalik,8,GL,1559443862,89,60.14,-45.24,34.82,1.86
Lorengau,82,PG,1559443862,88,-2.02,147.27,81.62,9.64
Kargasok,68,RU,1559443862,69,59.06,80.87,53.9,0.4
Antsohihy,76,MG,1559443862,77,-14.88,47.99,73.88,7.05
Pasni,0,PK,1559443862,45,25.26,63.48,90.8,2.82
Bozova,0,TR,1559443862,35,37.36,38.53,73.4,5.82
Dogondoutchi,96,NE,1559443862,53,13.64,4.03,86.84,10.42
Arraial do Cabo,5,BR,1559443862,91,-22.97,-42.02,73.34,2.86
Pangnirtung,55,CA,1559443863,56,66.15,-65.72,41.3,2.26
Takoradi,100,GH,1559443863,95,4.89,-1.75,74.6,3.24
Tabou,100,CI,1559443863,98,4.42,-7.36,73.34,1.7
Myitkyina,5,MM,1559443863,50,25.38,97.4,86.66,1.48
Adrar,0,DZ,1559443863,23,27.87,-0.29,75.2,13.87
Tura,1,IN,1559443863,60,25.52,90.21,87.2,5.95
Cooma,0,AU,1559443864,70,-36.24,149.13,48.2,9.17
Conde,1,BR,1559443864,97,-11.81,-37.61,71.18,0.25
Sol-Iletsk,59,RU,1559443864,66,51.16,55.0,74.06,4.38
Kodiak,1,US,1559443864,30,39.95,-94.76,75.2,9.17
Maceio,0,BR,1559443797,94,-9.67,-35.74,71.6,3.36
Georgetown,75,GY,1559443734,83,6.8,-58.16,80.6,9.17
Asuncion,0,PY,1559443864,93,-25.3,-57.63,59.0,4.43
Mae Chan,20,TH,1559443865,74,20.15,99.85,84.0,2.19
Cockburn Town,0,TC,1559443806,79,21.46,-71.14,81.44,19.39
Clyde River,1,CA,1559443865,97,70.47,-68.59,33.8,4.7
Port Elizabeth,1,US,1559443865,88,39.31,-74.98,73.4,4.29
Mizan Teferi,92,ET,1559443865,93,6.99,35.58,61.1,3.6
Moyale,76,ET,1559443865,95,3.52,39.05,68.48,8.37
Teknaf,47,BD,1559443865,67,20.86,92.31,86.12,5.06
Gravdal,96,NO,1559443865,93,59.79,5.78,51.01,10.29
Medea,0,DZ,1559443865,93,36.27,2.77,53.6,1.12
Waddan,95,LY,1559443866,65,29.16,16.14,69.92,10.29
Goderich,99,CA,1559443866,91,43.74,-81.71,55.99,8.01
Gari,100,RU,1559443866,95,59.43,62.35,52.1,6.78
Nhulunbuy,97,AU,1559443866,73,-12.18,136.78,77.0,17.22
Yumen,98,CN,1559443866,11,40.29,97.04,77.12,0.56
Sao Jose do Egito,24,BR,1559443866,90,-7.48,-37.27,67.94,9.48
Chincholi,99,IN,1559443867,40,17.47,77.42,93.5,13.69
Christchurch,97,NZ,1559443867,70,-43.53,172.64,48.99,25.28
Jalu,82,LY,1559443867,31,29.03,21.55,82.7,4.12
Rundu,0,NA,1559443867,46,-17.91,19.77,53.6,1.12
Namibe,0,AO,1559443867,79,-15.19,12.15,67.76,9.55
Constitucion,90,MX,1559443867,56,23.99,-104.67,69.01,9.17
Norden,43,DE,1559443867,87,53.59,7.21,59.0,4.7
Sitka,100,US,1559443868,81,37.17,-99.65,72.0,5.99
Rantauprapat,63,ID,1559443575,59,2.1,99.83,81.98,2.75
Salina Cruz,100,MX,1559443868,84,16.18,-95.2,78.74,4.05
Anadyr,0,RU,1559443868,46,64.73,177.51,42.8,13.42
Russell,0,AR,1559443868,81,-33.01,-68.8,46.4,4.7
Merritt Island,1,US,1559443868,53,28.54,-80.67,78.01,9.17
Skibbereen,75,IE,1559443868,100,51.55,-9.27,55.4,14.99
Phalombe,33,MW,1559443868,97,-15.81,35.65,54.98,3.02
Maragogi,28,BR,1559443818,93,-9.01,-35.22,73.88,3.31
Oksfjord,75,NO,1559443869,80,70.24,22.35,41.0,17.22
Malanje,20,AO,1559443869,89,-9.54,16.35,62.36,3.53
Rio Grande,0,BR,1559443869,91,-32.03,-52.1,54.62,1.07
Cayenne,84,GF,1559443869,100,4.94,-52.33,75.2,2.24
Gornopravdinsk,54,RU,1559443869,50,60.06,69.92,56.96,8.57
Chenzhou,84,CN,1559443869,58,25.81,113.03,87.02,1.32
Kargopol,98,RU,1559443869,59,61.51,38.95,51.56,10.07
Coahuayana,100,MX,1559443870,54,18.62,-100.35,85.58,3.53
San Andres,33,PH,1559443870,53,13.32,122.68,93.5,3.67
Kampene,54,CD,1559443870,98,-3.59,26.67,64.88,2.93
Jieshi,89,CN,1559443870,61,22.82,115.83,87.02,9.48
Orotukan,100,RU,1559443870,82,62.26,151.67,49.94,4.99
Havre-Saint-Pierre,90,CA,1559443870,87,50.23,-63.6,44.6,4.7
Ierapetra,75,GR,1559443870,72,35.01,25.74,68.0,5.82
Daru,100,SL,1559443871,99,7.99,-10.85,73.52,1.25
Margate,75,AU,1559443871,93,-43.03,147.26,50.0,4.7
Hamilton,75,CA,1559443662,100,43.26,-79.87,61.0,9.17
Tikapur,0,NP,1559443871,34,28.53,81.12,95.48,11.27
Aasiaat,79,GL,1559443871,80,68.71,-52.87,32.66,4.61
Baykit,77,RU,1559443871,47,61.68,96.39,51.02,10.0
Marinette,90,US,1559443611,87,45.1,-87.63,59.0,3.51
Velesta,1,MK,1559443872,83,41.24,20.64,44.54,3.22
Abalak,79,NE,1559443872,50,15.46,6.28,85.58,8.81
Koungheul,28,SN,1559443872,36,13.98,-14.8,80.36,9.8
Martapura,100,ID,1559443872,72,-3.41,114.85,85.76,6.78
Grimstad,75,NO,1559443872,81,66.94,13.72,43.0,14.99
Hulan Ergi,0,CN,1559443872,45,47.2,123.63,67.76,10.22
Sur,5,OM,1559443833,31,22.57,59.53,94.76,6.38
Aklavik,20,CA,1559443872,40,68.22,-135.01,53.6,20.8
Novogornyy,20,RU,1559443872,68,55.63,60.79,68.0,4.47
Sao Joao da Barra,0,BR,1559443873,97,-21.64,-41.05,70.1,1.63
Rincon,40,US,1559443839,53,32.3,-81.24,81.0,5.82
Tilichiki,88,RU,1559443873,65,60.47,166.1,54.08,12.91
Loreto,1,PY,1559443873,97,-23.27,-57.32,59.12,3.85
Nouakchott,0,MR,1559443873,88,18.08,-15.98,68.0,12.75
Ambilobe,73,MG,1559443873,90,-13.19,49.05,70.28,5.23
Benavente,0,PT,1559443873,32,38.98,-8.82,75.0,3.36
Rock Sound,4,BS,1559443874,81,24.9,-76.2,80.72,10.33
Hammerfest,100,NO,1559443874,86,70.66,23.68,39.2,14.99
Bima,97,ID,1559443874,74,-8.45,118.73,79.1,5.77
Yeppoon,90,AU,1559443874,49,-23.13,150.74,71.6,3.36
